Country,US 2024 Deficit,US 2024 Exports,US 2024 Imports (Customs Basis),Trump Tariffs Alleged,Trump Response,Population
Philippines,-4880.3,9297.3,14177.6,0.34,0.17,114891199.0
Pitcairn Islands -,113.0,221.0,233.0,0.1,0.1,
Qatar,1970.1,3804.2,1834.2,0.1,0.1,2656032.0
Reunion,-32.2,11.9,44.1,0.73,0.37,
Russia,-2481.4,526.1,3007.5,0.83,0.41,143826130.0
Rwanda,14.5,44.8,30.2,0.1,0.1,13954471.0
Samoa,48.7,54.4,5.7,0.1,0.1,216663.0
San Marino,54.8,80.0,25.2,0.1,0.1,33860.0
Sao Tome and Principe -,111.0,222.0,219.0,0.1,0.1,230871.0
Saudi Arabia,443.3,13177.0,12733.7,0.1,0.1,33264292.0
Senegal,115.7,350.9,235.1,0.1,0.1,18077573.0
Serbia,-604.5,209.9,814.4,0.74,0.37,6623183.0
Seychelles,9.4,16.5,7.2,0.1,0.1,119773.0
Sierra Leone,91.1,119.9,28.7,0.1,0.1,8460512.0
Singapore,2828.9,46032.6,43203.7,0.1,0.1,5917648.0
Sint Maarten,652.4,753.9,101.5,0.1,0.1,42749.0
Solomon Islands,11.8,13.1,1.3,0.1,0.1,5426740.0
Somalia,46.6,49.1,2.5,0.1,0.1,18358615.0
South Africa,-8836.8,5819.0,14655.8,0.6,0.3,63212384.0
South Sudan,58.5,59.3,0.8,0.1,0.1,11483374.0
Sri Lanka,-2647.4,368.2,3015.6,0.88,0.44,22037000.0
St Helena,-1.6,9.0,10.6,0.15,0.1,
St Kitts and Nevis,140.6,160.2,19.6,0.1,0.1,46758.0
St Lucia,1036.6,1043.6,7.0,0.1,0.1,179285.0
St Pierre and Miquelon -,95.0,232.0,194.0,0.1,0.1,
St Vincent and the Grenadines,135.0,143.2,8.3,0.1,0.1,101323.0
Sudan,43.5,56.6,13.1,0.1,0.1,50042791.0
Suriname,292.6,383.5,90.9,0.1,0.1,628886.0
Svalbard Jan Mayen Island -,108.0,228.0,229.0,0.1,0.1,
Switzerland,-38463.3,24962.0,63425.3,0.61,0.3,8888093.0
Syria -,90.0,217.0,173.0,0.1,0.1,23594623.0
Taiwan,-73927.2,42336.9,116264.0,0.64,0.32,
Tajikistan,52.2,56.8,4.6,0.1,0.1,10389799.0
Tanzania,368.7,573.4,204.7,0.1,0.1,
Thailand,-45608.9,17719.2,63328.2,0.72,0.36,71702435.0
Timor-Leste,13.1,19.0,5.9,0.1,0.1,1384286.0
Togo,193.6,283.6,90.0,0.1,0.1,9304337.0
Tokelau -,104.0,229.0,225.0,0.1,0.1,
Tonga,17.1,19.9,2.8,0.1,0.1,104597.0
Trinidad and Tobago,-386.2,2939.7,3325.9,0.12,0.1,1367510.0
Tunisia,-619.6,503.6,1123.2,0.55,0.28,12200431.0
Turkey,-1452.7,15293.0,16745.7,0.1,0.1,85325965.0
Turkmenistan,67.6,82.2,14.6,0.1,0.1,7364438.0
Turks and Caicos Islands,702.6,713.6,11.0,0.1,0.1,46198.0
Tuvalu -,106.0,226.0,222.0,0.1,0.1,9816.0
Uganda,-26.3,106.3,132.6,0.2,0.1,48656601.0
Ukraine,497.0,1683.5,1186.5,0.1,0.1,37732836.0
United Arab Emirates,19494.9,26969.3,7474.4,0.1,0.1,10483751.0
United Kingdom,11856.9,79941.3,68084.5,0.1,0.1,68350000.0
Uruguay,420.2,1649.0,1228.8,0.1,0.1,3388081.0
Uzbekistan,338.4,380.8,42.4,0.1,0.1,35652307.0
Vanuatu,-6.1,7.6,13.7,0.45,0.22,320409.0
Vatican City -,112.0,223.0,226.0,0.1,0.1,
Venezuela,-1755.8,4232.0,5987.9,0.29,0.15,28300854.0
Vietnam,-123463.0,13098.2,136561.2,0.9,0.45,100352192.0
West Bank Administered by Israel,-2.3,3.7,6.0,0.38,0.19,
Yemen,125.2,134.1,8.9,0.1,0.1,39390799.0
Zambia,-55.3,113.8,169.1,0.33,0.16,20723965.0
Zimbabwe,-24.1,43.8,67.8,0.36,0.18,16340822.0
